CampaignID,CampaignName,Platform,CampaignType,StartDate,EndDate,Impressions,Clicks,CostPerClick,Conversions,ConversionRate,TotalCost,CTR,CPA
C1,Cross-platform tertiary throughput,LinkedIn,Brand Awareness,2023-01-01,2023-02-18,31999,2132,4.46,427,0.1755,9508.72,0.0666270821,22.26866511
C2,Ergonomic background support,LinkedIn,Lead Generation,2023-12-14,2024-01-02,72460,5884,1.83,909,0.1848,10767.72,0.08120342258,11.84567657
C3,Streamlined web-enabled productivity,Facebook,Engagement,2023-08-17,2023-09-04,73234,9788,2.74,346,0.0567,26819.12,0.1336537674,77.51190751
C4,Compatible uniform strategy,LinkedIn,Brand Awareness,2023-06-06,2023-07-05,1550,6125,2.17,644,0.0361,13291.25,3.951612903,20.63858696
C5,Inverse motivating collaboration,Facebook,Engagement,2023-03-18,2023-10-07,87512,5624,1.85,760,0.0566,10404.4,0.06426547216,13.69
C6,Optional methodical info-mediaries,Facebook,Conversion,2023-08-25,2023-11-01,69269,3957,2.64,330,0.1935,10446.48,0.05712512091,31.656
C7,Re-contextualized full-range interface,LinkedIn,Conversion,2023-09-30,2023-10-27,70492,4184,1.35,154,0.1289,5648.4,0.05935425296,36.67792208
C8,Cross-platform homogeneous standardization,Facebook,Brand Awareness,2023-04-22,2023-10-01,75389,6305,0.62,524,0.059,3909.1,0.08363289074,7.460114504
C9,Configurable intangible focus group,Facebook,Brand Awareness,2023-03-28,2023-07-28,50127,2559,0.15,700,0.1184,383.85,0.05105033216,0.5483571429
C10,Synchronized coherent service-desk,LinkedIn,Lead Generation,2023-07-03,2023-07-04,2877,7820,0.9,949,0.1232,7038,2.718109141,7.416227608
C11,Managed dynamic system engine,Facebook,Brand Awareness,2023-03-29,2023-08-02,26635,7996,0.92,950,0.1274,7356.32,0.3002064952,7.743494737
C12,Expanded clear-thinking open architecture,Facebook,Lead Generation,2023-06-24,2023-06-26,8396,8322,0.94,953,0.1401,7822.68,0.9911862792,8.208478489
C13,Profit-focused full-range synergy,LinkedIn,Engagement,2023-08-31,2023-09-27,21712,9165,1.42,982,0.0869,13014.3,0.4221168018,13.25285132
C14,Organized interactive workforce,LinkedIn,Engagement,2023-09-04,2023-09-18,59735,8561,2.62,433,0.0372,22429.82,0.1433163137,51.80096998
C15,Horizontal holistic strategy,LinkedIn,Lead Generation,2023-12-09,2023-12-25,68762,5439,0.6,714,0.1071,3263.4,0.07909892092,4.570588235
C16,Phased uniform framework,Facebook,Lead Generation,2023-12-10,2023-12-28,68008,6231,1.43,252,0.018,8910.33,0.09162157393,35.35845238
C17,Triple-buffered transitional strategy,LinkedIn,Engagement,2023-05-23,2023-10-28,20086,4657,0.89,518,0.1475,4144.73,0.231853032,8.001409266
C18,Streamlined tangible firmware,Facebook,Engagement,2023-07-04,2023-07-19,99067,8692,1.42,692,0.0461,12342.64,0.08773860115,17.83618497
C19,Centralized bottom-line artificial intelligence,Facebook,Conversion,2023-10-07,2023-11-02,48919,1706,4.9,897,0.1428,8359.4,0.03487397535,9.319286511
C20,Progressive value-added website,Facebook,Brand Awareness,2023-10-23,2023-10-24,48928,836,2.86,975,0.1292,2390.96,0.01708633094,2.452266667
C21,Seamless mission-critical leverage,Facebook,Conversion,2023-03-22,2023-04-10,69742,3067,0.16,748,0.1161,490.72,0.04397637005,0.6560427807
C22,Polarized scalable contingency,LinkedIn,Engagement,2023-07-23,2023-11-02,90148,9088,0.8,962,0.1227,7270.4,0.100811998,7.557588358
C23,Expanded scalable policy,LinkedIn,Lead Generation,2023-01-18,2023-03-11,65477,9780,4.31,31,0.1585,42151.8,0.149365426,1359.735484
C24,Synergized responsive forecast,Facebook,Lead Generation,2023-09-25,2023-10-14,30561,2334,3.46,409,0.0585,8075.64,0.07637184647,19.74484108
C25,Extended tertiary synergy,Facebook,Brand Awareness,2023-01-13,2023-12-22,64413,8550,2.43,369,0.0179,20776.5,0.1327371804,56.30487805
C26,Virtual secondary productivity,Facebook,Conversion,2023-01-03,2023-11-29,92369,9149,3.96,921,0.1754,36230.04,0.09904838203,39.33771987
C27,Progressive motivating moderator,Facebook,Brand Awareness,2023-11-29,2023-12-17,15197,5602,0.41,137,0.0434,2296.82,0.3686253866,16.76510949
